,Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed,Positive Rate,7-day Average Positives,7-day Average Test Rate,14-day Average Positives,14-day Average Test Rate
148,2020-07-27,Albany,15,2468,929,73097,0.016146393972012917,16.0,0.018936507889633802,8.0,0.009468253944816901
149,2020-07-28,Albany,12,2480,843,73940,0.014234875444839857,15.0,0.018348829545580782,7.0,0.009174414772790391
150,2020-07-29,Albany,13,2493,763,74703,0.01703800786369594,13.0,0.016094185980321227,6.0,0.008047092990160614
151,2020-07-30,Albany,10,2503,745,75448,0.013422818791946308,11.0,0.01402576213427274,5.0,0.00701288106713637
152,2020-07-31,Albany,12,2515,1055,76503,0.011374407582938388,11.0,0.01293820010724224,5.0,0.00646910005362112
153,2020-08-01,Albany,6,2521,463,76966,0.012958963282937365,10.0,0.012516355904087811,5.0,0.006258177952043906
154,2020-08-02,Albany,10,2531,529,77495,0.01890359168241966,11.0,0.014868436945827204,5.0,0.007434218472913602
155,2020-08-03,Albany,12,2543,770,78265,0.015584415584415584,10.0,0.014788154319027585,5.0,0.007394077159513793
156,2020-08-04,Albany,13,2556,1218,79483,0.010673234811165846,10.0,0.014279348514217013,5.0,0.007139674257108507
157,2020-08-05,Albany,9,2565,800,80283,0.01125,10.0,0.013452490247974737,5.0,0.006726245123987369
158,2020-08-06,Albany,8,2573,757,81040,0.010568031704095112,10.0,0.01304466352113885,5.0,0.006522331760569425
159,2020-08-07,Albany,8,2581,946,81986,0.008456659619450317,9.0,0.012627842383497697,4.0,0.006313921191748849
160,2020-08-08,Albany,14,2595,903,82889,0.015503875968992248,10.0,0.012991401338648397,5.0,0.006495700669324199
161,2020-08-09,Albany,5,2600,739,83628,0.006765899864682003,9.0,0.011257445364685873,4.0,0.0056287226823429366
162,2020-08-10,Albany,14,2614,1127,84755,0.012422360248447204,10.0,0.010805723173833246,5.0,0.005402861586916623
